"","ID","gemeente","weight1","geslacht","leeftijd","opleiding","gezin","vertrouwen","nieuwsinteresse","intr_nieuws_buurt","intr_nieuws_stad","intr_nieuws_landelijk","intr_nieuws_internationaal","intr_nieuws_gr18","stem_gr2014","stem_gr2014b","stem_2017","stemkans_gr18","stemintentie_gr18","stemintentie_gr18b","stem_gr18","stem_moment","stem_plan","sr_niet","referendum","stem_gr18b"
"95",22021,"enschede",0.793392238324074,2,52,"bachelor",6,-0.166666666666667,0.3,0.5,0.5,0.5,0.5,-0.5,"Weet ik niet meer","Weet ik niet meer","VVD","Waarschijnlijk wel","Weet ik niet meer","Weet ik niet meer","CDA","Op 21 maart, maar niet in het stemhokje","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb voor gestemd","CDA"
"96",22022,"enschede",1.3100070737263,1,21,"bachelor",6,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,"Weet ik niet meer","Weet ik niet meer","Forum voor Democratie","Waarschijnlijk wel","Weet ik niet meer","Weet ik niet meer","Burgerbelangen Enschede (BBE)","Op 21 maart, maar niet in het stemhokje","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","lokaal"
"97",33012,"nijmegen",0.794532771832626,2,47,"master",1,0.166666666666667,0.4,1,0.5,-0.5,0.5,0.5,"PvdA","PvdA","PvdA","Zeker wel","PvdA","PvdA","PvdA","Op de dag voor de verkiezingen","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","PvdA"
"98",44007,"roermond",0.766138087681291,1,48,"mbo",3,-0.333333333333333,-0.1,-0.5,-0.5,0.5,0.5,-0.5,"Weet ik niet meer","Weet ik niet meer","SP","Waarschijnlijk wel","Weet ik niet meer","Weet ik niet meer","Ik heb niet gestemd",NA,NA,"Ik vind gemeenteraadsverkiezingen onbelangrijk/ heb me er niet in verdiept","Ik heb niet gestemd","Ik heb niet gestemd"
"99",33013,"nijmegen",0.794532771832626,2,56,"vwo",4,-0.666666666666667,0.1,1,0.5,0.5,-0.5,-1,"Ik heb niet gestemd","Ik heb niet gestemd","Ik heb niet gestemd","Zeker niet","Weet ik niet meer","Weet ik niet meer","Ik heb niet gestemd",NA,NA,"Ik vind gemeenteraadsverkiezingen onbelangrijk/ heb me er niet in verdiept","Ik heb niet gestemd","Ik heb niet gestemd"
"100",55010,"smallingerland",0.975041314245575,2,62,"vwo",1,0.166666666666667,0.9,0.5,1,1,1,1,"ChristenUnie","ChristenUnie","GroenLinks","Zeker wel","Weet ik niet meer","Weet ik niet meer",NA,NA,NA,NA,NA,NA
"101",66001,"bunschoten",0.65412002316781,1,52,"mbo",3,-0.333333333333333,-0.2,0.5,0.5,-0.5,-0.5,-1,"Ik heb niet gestemd","Ik heb niet gestemd","Ik heb niet gestemd","Zeker niet","Ik heb niet gestemd","Ik heb niet gestemd","Ik heb niet gestemd",NA,NA,"Ik ga nooit stemmen, heb nog nooit gestemd","Ik heb niet gestemd","Ik heb niet gestemd"
"102",66002,"bunschoten",1.06766232946955,2,49,"mbo",3,-0.5,0.1,0.5,0.5,-0.5,-0.5,0.5,"Weet ik niet meer","Weet ik niet meer","SP","Zeker wel","Weet ik niet meer","Weet ik niet meer",NA,NA,NA,NA,NA,NA
"103",99016,"rotterdam",1.04689921533174,2,63,"lbo",1,-0.166666666666667,0.9,1,1,1,1,0.5,"SP","SP","SP","Zeker wel","Leefbaar Rotterdam","lokaal","Leefbaar Rotterdam","Circa een week voor de verkiezingen","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb niet gestemd","lokaal"
"104",22023,"enschede",0.793392238324074,2,59,"vwo",3,0.333333333333333,0.1,0.5,0.5,0.5,-0.5,-0.5,"ChristenUnie","ChristenUnie","ChristenUnie","Zeker wel","ChristenUnie","ChristenUnie","ChristenUnie","Dat stond al heel lang vast","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb voor gestemd","ChristenUnie"
